service_id,date,exception_type
S_DESAT_OBRA_002,20230624,2
D_OBRA_002,20230625,1
D_DESAT_OBRA_002,20230625,2
U_OBRA_002,20230626,1
U_DESAT_OBRA_002,20230626,2
U_OBRA_002,20230627,1
U_DESAT_OBRA_002,20230627,2
U_OBRA_002,20230628,1
U_DESAT_OBRA_002,20230628,2
U_OBRA_002,20230629,1
U_DESAT_OBRA_002,20230629,2
U_OBRA_002,20230630,1
U_DESAT_OBRA_002,20230630,2
U_OBRA_003,20230601,1
U_DESAT_OBRA_003,20230601,2
U_OBRA_003,20230602,1
U_DESAT_OBRA_003,20230602,2
S_OBRA_003,20230603,1
S_DESAT_OBRA_003,20230603,2
D_OBRA_003,20230604,1
D_DESAT_OBRA_003,20230604,2
U_OBRA_003,20230605,1
U_DESAT_OBRA_003,20230605,2
U_OBRA_003,20230606,1
U_DESAT_OBRA_003,20230606,2
U_OBRA_003,20230607,1
U_DESAT_OBRA_003,20230607,2
D_OBRA_003,20230608,1
U_OBRA_003,20230608,2
D_DESAT_OBRA_003,20230608,2
U_DESAT_OBRA_003,20230608,2
S_OBRA_003,20230609,1
U_OBRA_003,20230609,2
S_DESAT_OBRA_003,20230609,2
U_DESAT_OBRA_003,20230609,2
S_OBRA_003,20230610,1
S_DESAT_OBRA_003,20230610,2
D_OBRA_003,20230611,1
D_DESAT_OBRA_003,20230611,2
U_OBRA_003,20230612,1
U_DESAT_OBRA_003,20230612,2
U_OBRA_003,20230613,1
U_DESAT_OBRA_003,20230613,2
U_OBRA_003,20230614,1
U_DESAT_OBRA_003,20230614,2
U_OBRA_003,20230615,1
U_DESAT_OBRA_003,20230615,2
U_OBRA_003,20230616,1
U_DESAT_OBRA_003,20230616,2
S_OBRA_003,20230617,1
S_DESAT_OBRA_003,20230617,2
D_OBRA_003,20230618,1
D_DESAT_OBRA_003,20230618,2
U_OBRA_003,20230619,1
U_DESAT_OBRA_003,20230619,2
U_OBRA_003,20230620,1
U_DESAT_OBRA_003,20230620,2
U_OBRA_003,20230621,1
U_DESAT_OBRA_003,20230621,2
U_OBRA_003,20230622,1
U_DESAT_OBRA_003,20230622,2
U_OBRA_003,20230623,1
U_DESAT_OBRA_003,20230623,2
S_OBRA_003,20230624,1
S_DESAT_OBRA_003,20230624,2
D_OBRA_003,20230625,1
D_DESAT_OBRA_003,20230625,2
U_OBRA_003,20230626,1
U_DESAT_OBRA_003,20230626,2
U_OBRA_003,20230627,1
U_DESAT_OBRA_003,20230627,2
U_OBRA_003,20230628,1
U_DESAT_OBRA_003,20230628,2
U_OBRA_003,20230629,1
U_DESAT_OBRA_003,20230629,2
U_OBRA_003,20230630,1
U_DESAT_OBRA_003,20230630,2
